---------,2,0
---------,3,0
---------,4,0
---------,6,0
---------,7,0
---------,8,0
---------,9,0
--O-O-XOO,1,-0.1
--OO-OX--,9,-0.1
--X-OO-OO,1,-0.1
--XOO---O,6,-0.1
--XOO--OO,2,-0.1
-X--O-O--,3,-0.1
-X--OO-OO,1,-0.1
-X--OOO--,3,-0.1
-X-O-O--O,3,-0.1
-X-O-OO-O,5,-0.1
-X-O-OOO-,1,-0.1
-X-OO-O-O,3,-0.1
-X-OO-O-O,8,-0.19
-X-OO-OO-,1,-0.1
-XO----OO,7,-0.1
-XO---OO-,5,-0.1
-XOOO--OO,6,-0.19
O----OOX-,4,-0.1
O----X-OO,7,-0.1
O-O----XO,5,-0.1
O-O--OX--,9,-0.1
O-OO---OX,7,-0.1
O-OXO--O-,2,-0.1
O-X-OO-O-,9,-0.1
OO----O-X,3,-0.1
OO-O--XOO,5,-0.1
OOX----OO,7,-0.1
OOX-OOO--,4,-0.19
OOXO-O-OO,7,-0.1
OX----O-O,4,-0.1
OX---OO-O,8,-0.1
OX--OO---,4,-0.271
OX--OOO--,4,-0.1
OX-O-----,7,-0.1
OX-O-O-O-,7,-0.1
OX-O-O-OO,7,-0.1
OX-OO----,7,-0.1
OXO---O--,4,-0.1
OXO--O-O-,9,-0.1
OXO--OO--,4,-0.1
OXO--OOO-,5,-0.1
OXO-O----,9,-0.19
OXO-O--O-,7,-0.1
OXO-OO-O-,7,-0.1
OXOO----O,6,-0.1
OXOO---OO,6,-0.19
OXOO-O-O-,9,-0.1
OXOOO----,7,-0.1
